epoch,train_loss,eval_loss,eval_top1,eval_top5
137,1.0620185732841492,0.391812890625,92.38,99.65
138,1.1631092727184296,0.359670703125,92.75,99.66
139,0.7019127011299133,0.3866828125,92.77,99.78
140,1.2594465613365173,0.3991171875,92.64,99.62
141,1.0207884907722473,0.3841171875,93.18,99.7
142,1.0344683229923248,0.473620703125,92.48,99.74
143,1.0704364776611328,0.407237109375,93.22,99.74
144,1.008592575788498,0.419971875,92.74,99.7
145,1.0068600177764893,0.4428609375,92.7,99.67
146,0.9325111508369446,0.403140625,92.76,99.61
147,1.0373418927192688,0.3868203125,92.74,99.77
148,1.1633521914482117,0.398433984375,92.29,99.66
149,1.552110195159912,0.41071328125,93.03,99.54
150,0.9126822054386139,0.45608046875,92.4,99.67
151,0.8659268021583557,0.4074890625,93.03,99.77
152,1.2661151885986328,0.410421875,92.67,99.65
153,0.7561978697776794,0.41003515625,92.75,99.66
154,0.9509390890598297,0.415394140625,93.09,99.62
155,1.407096028327942,0.4929453125,92.55,99.71
156,1.1282890737056732,0.410641015625,93.21,99.62
157,1.0489039421081543,0.389993359375,93.08,99.71
158,1.234240710735321,0.45214140625,93.08,99.66
159,0.8786730468273163,0.42386953125,93.42,99.65
160,1.0514028072357178,0.380009375,93.36,99.63
161,1.0576777756214142,0.368537890625,93.56,99.63
162,1.1005403399467468,0.4425703125,93.51,99.76
163,0.9048632085323334,0.42848671875,93.37,99.68
164,1.1190725564956665,0.38878984375,93.26,99.66
165,1.0478891730308533,0.3348359375,93.7,99.59
166,0.8805881440639496,0.406315625,93.01,99.66
167,0.9590847492218018,0.43475234375,93.45,99.68
168,0.8441409170627594,0.40140625,93.05,99.68
169,0.8018869161605835,0.36629296875,93.33,99.67
170,1.1288990378379822,0.3990015625,93.05,99.73
171,1.0410764515399933,0.4517671875,93.21,99.69
172,0.9205405712127686,0.428671875,93.32,99.68
173,1.192596673965454,0.42095078125,93.54,99.64
174,0.8954768776893616,0.40067109375,93.6,99.65
175,1.360192894935608,0.4133609375,93.64,99.63
176,1.2173415422439575,0.3319734375,93.76,99.61
177,1.2388112545013428,0.36261875,93.89,99.58
178,0.9555541276931763,0.42222578125,93.23,99.72
179,1.0688506364822388,0.345030078125,93.4,99.59
180,0.8218387067317963,0.3822125,93.77,99.72
181,1.0996991395950317,0.38281640625,93.58,99.58
182,1.1384398937225342,0.45770390625,93.59,99.69
183,1.035303145647049,0.368787890625,93.8,99.66
184,0.7893117666244507,0.33062109375,93.83,99.69
185,0.8842408955097198,0.37974453125,93.61,99.59
