epoch,train_loss,eval_loss,eval_top1,eval_top5
271,1.6246355772018433,1.485565625,40.0,99.1
272,1.6249249577522278,1.42853125,39.98,99.15
273,1.571264624595642,1.39314375,40.32,99.14
274,1.5312775373458862,1.3622375,40.67,99.08
275,1.4972508549690247,1.3421359375,40.62,99.12
276,1.5082165002822876,1.3178265625,41.11,99.14
277,1.5113770365715027,1.305640625,41.09,99.01
278,1.4962589740753174,1.28971875,41.14,99.15
279,1.509850561618805,1.280315625,41.02,99.07
280,1.5167316794395447,1.2675125,41.04,99.07
281,1.4964999556541443,1.25716875,41.71,99.09
282,1.4544342160224915,1.24915,41.48,99.09
283,1.4825756549835205,1.239509375,42.03,99.14
284,1.4571276903152466,1.233546875,41.53,99.1
285,1.4837656617164612,1.2247515625,41.93,99.12
286,1.4834937453269958,1.216459375,42.55,99.24
287,1.4297702312469482,1.215309375,42.32,99.05
288,1.42046320438385,1.2089328125,42.0,99.13
289,1.4542323350906372,1.2025765625,42.72,99.22
290,1.4143158197402954,1.198328125,42.51,99.12
291,1.4102594256401062,1.1945546875,42.2,99.07
292,1.4718970656394958,1.19218125,43.02,99.17
293,1.4198217988014221,1.187325,42.87,99.11
294,1.4083568453788757,1.1813125,42.79,99.17
295,1.4382283091545105,1.177240625,43.16,99.17
296,1.4365386962890625,1.175603125,42.64,99.15
297,1.400682806968689,1.170046875,43.17,99.21
298,1.3863765001296997,1.16711875,43.74,99.28
299,1.424545168876648,1.1640703125,43.23,99.23
300,1.420841932296753,1.160384375,43.48,99.19
301,1.4601598381996155,1.158440625,43.5,99.18
302,1.415525496006012,1.154765625,43.62,99.27
303,1.395380973815918,1.1525453125,44.3,99.2
304,1.4683341979980469,1.1504859375,43.83,99.16
305,1.3627328276634216,1.1451390625,43.8,99.22
306,1.3766447305679321,1.1431078125,44.05,99.27
307,1.4084177017211914,1.142109375,44.86,99.26
308,1.4142448902130127,1.13675,44.77,99.19
309,1.448611557483673,1.135246875,44.27,99.35
